Ano do nascimento;Nascim_p/resid.mãe;;;;;;;;;;;;;
2000;3952;;;;;;;;;;;;;
2001;3391;;;;;;;;;;;;;
2002;3416;;;;;;;;;;;;;
2003;3530;;;;;;;;;;;;;
2004;2489;;;;;;;;;;;;;
2005;3357;;;;;;;;;;;;;
2006;3385;;;;;;;;;;;;;
2007;3306;;;;;;;;;;;;;
2008;3514;;;;;;;;;;;;;
2009;3418;;;;;;;;;;;;;
2010;3401;;;;;;;;;;;;;
2011;3510;;;;;;;;;;;;;
2012;3440;;;;;;;;;;;;;
2013;3283;;;;;;;;;;;;;
2014;3387;;;;;;;;;;;;;
2015;3364;;;;;;;;;;;;;
2016;2913;;;;;;;;;;;;;
2017;3036;;;;;;;;;;;;;
2018;3042;;;;;;;;;;;;;
2019;2977;;;;;;;;;;;;;
2020;2762;;;;;;;;;;;;;
2021;2900;;;;;;;;;;;;;
2022;2764;;;;;;;;;;;;;
2023;2893;;;;;;;;;;;;;
2024;2606;;;;;;;;;;;;;
Total;80036;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Ano do Óbito;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Idade ignorada;Total
2000;54;8;8;10;14;53;41;91;102;136;160;159;2;838
2001;40;7;5;4;14;52;49;91;121;149;133;153;-;818
2002;45;8;9;5;14;55;59;95;128;171;168;152;-;909
2003;53;6;3;7;16;60;52;92;131;152;212;162;-;946
2004;40;6;2;5;20;58;59;86;110;128;170;157;-;841
2005;42;5;6;9;10;49;57;88;133;158;196;172;-;925
2006;47;2;7;6;12;49;54;118;155;174;228;243;-;1095
2007;58;6;6;3;20;64;60;117;155;150;208;220;1;1068
2008;44;5;5;6;17;52;72;116;171;158;201;225;-;1072
2009;51;4;5;9;28;74;60;112;163;180;228;244;-;1158
2010;39;6;4;4;27;74;90;104;183;188;219;269;-;1207
2011;41;2;3;4;25;45;67;95;173;209;258;260;-;1182
2012;32;7;5;9;29;67;68;115;169;185;258;313;-;1257
2013;29;6;3;8;24;45;76;114;180;177;246;353;-;1261
2014;35;4;3;7;14;40;54;102;174;213;246;335;-;1227
2015;35;6;3;4;21;37;61;84;165;232;259;422;-;1329
2016;25;4;2;-;17;45;56;106;184;235;245;349;1;1269
2017;27;7;2;5;15;45;70;82;162;249;264;413;-;1341
2018;27;4;2;3;15;53;45;77;172;250;249;426;-;1323
2019;31;4;-;3;9;37;59;64;157;231;257;421;-;1273
2020;22;7;2;4;12;40;57;107;203;338;373;553;-;1718
2021;29;2;2;4;16;32;72;128;229;432;444;565;-;1955
2022;22;6;1;2;11;25;43;98;138;307;360;521;1;1535
2023;22;1;3;2;8;42;40;96;166;310;343;540;-;1573
2024;24;6;3;5;11;46;63;118;156;362;361;563;-;1718
Total;914;129;94;128;419;1239;1484;2496;3980;5474;6286;8190;5;30838
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Cor/raça;Menor 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 a 79 anos;80 anos e mais;Idade ignorada;Total
Branca;16;3;-;-;5;26;23;65;107;217;326;514;-;1302
Preta;-;-;1;1;2;7;5;17;34;71;53;82;-;273
Amarela;-;-;-;-;-;-;2;1;3;11;9;13;-;39
Parda;26;4;3;2;12;34;51;110;154;301;304;432;-;1433
Indígena;-;-;-;-;-;-;-;-;1;-;-;-;-;1
Ignorado;2;-;-;1;-;-;2;1;5;17;11;20;1;60
Total;44;7;4;4;19;67;83;194;304;617;703;1061;1;3108
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
